type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;Imóveis PRO;110;110;Linda casa de Vila estilo Vintage para venda ou locação na Vila Olímpia.;Linda casa de vila estilo vintage na Vila Olimpia! <br><br>Com 110m², 3 dormitórios, sala para 2 ambientes, cozinha independente, quintal, escritório e solarium. Além disso, você terá 2 vagas de garagem para estacionar com segurança.<br><br>Com um charme único e aconchegante, esta casa possui um estilo vintage que vai encantar você e sua família. O quintal é perfeito para reunir os amigos e familiares para um churrasco ou uma noite agradável ao ar livre.<br><br>O escritório é ideal para quem precisa trabalhar em casa, e o solarium é um espaço perfeito para relaxar e aproveitar o sol. Com 2 vagas de garagem, você não precisa se preocupar em procurar estacionamento na rua.<br><br>Localizada na Vila Olimpia, esta casa está em um bairro com uma excelente infraestrutura, com diversas opções de comércio, serviços e transporte público. <br><br>Agende sua visita com quem é Pró. Imóveis PRO!<br>A Imóveis PRO está entre as melhores imobiliárias do Brasil e desenvolveu uma nova experiência no atendimento customizado aos clientes exigentes que buscam imóveis selecionados nos melhores bairros de São Paulo.<br><br>Juntamos a tradição com altas de tecnologia e um time muito experiente fazendo com que a jornada de busca seja muito mais objetiva e prazerosa.<br><br>Seja atendido no formato VIP Imóveis PRO com quem realmente entende do mercado e dos principais imóveis de São Paulo.<br><br>Atendemos Full Service: Vendas, Locações, Administração de Patrimônio, Formatação de Áreas para Incorporações, Expansões de Empresas, Atualização de Patrimônio.<br><br>Valores e disponibilidade poderão sofrer alterações. Consulte mais informações com os nossos especialistas.<br><br>Vem Com quem é PRO!;2023-04-20T02:09:31.793Z;2023-05-02T06:08:42.036Z;;2;04547060;Rua Elizabeth Trovão Usui;Vila Olímpia;;1;3;3;2.150.000;350;;SUPER_PREMIUM;VILLAGE_HOUSE;;RESIDENTIAL;;;RENTAL_SALE;Zona Sul;False;Casa de Vila para alugar e comprar em;28161-J-SP;11.000;0;;False;USED;;UNIT;0;False;IP20541;True;São Paulo;APPROXIMATE;True;;Alugar/Comprar;BR;NEIGHBORHOOD;a5152518-37b9-29c6-35e5-9ffdded9b912;/imovel/venda-casa-de-vila-3-quartos-vila-olimpia-zona-sul-sao-paulo-sp-110m2-id-2627334356/;GRUPOZAP;2627334356;RENTAL;STREET;São Paulo;VALID_STREET;mês;;11.000;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;CAED Imóveis;150;150;Casa de vila sobrado para aluguel com 150 metros quadrados com 3 quartos;Vila fechada com portão eletrônico, totalmente reformada com 03 dormitórios todos em piso frio sem armários, lavabo, cozinha independente com armários, amplo quintal ensolarado, dois terraços, dependência de empregada, lavanderia, duas vagas de garagem. Localização privilegiada próximo a todo tipo de comércio e meios de transportes, inclusive metro Campo Belo. Vale a pena agendar sua visita.;2023-04-13T17:16:08.157Z;2023-05-04T16:47:51.670Z;;2;04555020;Rua Comendador Laurentino Gonçalves;Brooklin;50;;3;3;;766;;SUPER_PREMIUM;HOME;VILLAGE_HOUSE|TWO_STORY_HOUSE;RESIDENTIAL;ELECTRONIC_GATE|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_PUBLIC_TRANSPORT|SERVICE_AREA|KITCHEN_CABINETS|SERVICE_BATHROOM|LARGE_KITCHEN|EMPLOYEE_DEPENDENCY|DEPOSIT|COLD_FLOOR|HOME_OFFICE|LAVABO|BACKYARD;-23.622599;RENTAL;Zona Sul;False;Casa de vila para alugar em;00000-F-SP;4.500;0;-46.684152;False;USED;GOOGLE;UNIT;0;False;LOCVILABROO;True;São Paulo;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;6c118577-85cf-f92d-1fbf-492872fd8385;/imovel/aluguel-casa-de-vila-3-quartos-brooklin-zona-sul-sao-paulo-sp-150m2-id-2626002382/;GRUPOZAP;2626002382;RENTAL;ALL;São Paulo;VALID_STREET;mês;;4.500;casas-de-vila;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;Imóveis PRO;140;136;Linda Casa de Vila no Brooklin;Linda Casa de Vila no Brooklin<br>A Imóveis PRO está entre as melhores imobiliárias do Brasil e desenvolveu uma nova experiência no atendimento customizado aos clientes exigentes que buscam imóveis selecionados nos melhores bairros de São Paulo.<br><br>Juntamos a tradição com altas de tecnologia e um time muito experiente fazendo com que a jornada de busca seja muito mais objetiva e prazerosa.<br><br>Seja atendido no formato VIP Imóveis PRO com quem realmente entende do mercado e dos principais imóveis de São Paulo.<br><br>Atendemos Full Service: Vendas, Locações, Administração de Patrimônio, Formatação de Áreas para Incorporações, Expansões de Empresas, Atualização de Patrimônio.<br><br>Valores e disponibilidade poderão sofrer alterações. Consulte mais informações com os nossos especialistas.<br><br>Vem Com quem é PRO!;2023-04-21T02:13:58.969Z;2023-05-02T06:08:38.815Z;;2;04581020;Rua João Adriano de Camargo;Brooklin;;0;4;3;1.600.000;398;;SUPER_PREMIUM;VILLAGE_HOUSE;;RESIDENTIAL;;;RENTAL_SALE;Zona Sul;False;Casa de Vila para alugar e comprar em;28161-J-SP;7.500;0;;False;USED;;UNIT;0;False;IP20763;True;São Paulo;RANGE_INTERPOLATED;True;;Alugar/Comprar;BR;STREET;a5152518-37b9-29c6-35e5-9ffdded9b912;/imovel/venda-casa-de-vila-3-quartos-brooklin-zona-sul-sao-paulo-sp-140m2-id-2627561201/;GRUPOZAP;2627561201;RENTAL;STREET;São Paulo;VALID_STREET;mês;;7.500;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Cássio A. R. Petreca;120;;Casa de vila para aluguel com 120 metros quadrados com 3 quartos;A casa de vila está localizado no bairro Jardim Tarraf II tem 120 metros quadrados com 3 quartos sendo 1 suite e 3 banheirosEstá em um condomínio protegido por grades.;2023-04-28T12:21:56.856Z;2023-04-28T12:22:31.727Z;;2;15092440;Rua República do Líbano;Residencial Alameda do Sul;4567;1;3;3;;118;570;PREMIUM;HOME;VILLAGE_HOUSE;RESIDENTIAL;GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H|PETS_ALLOWED;-20.840027;RENTAL;Bairros;False;Casa de vila para alugar em;;3.800;0;-49.416696;False;USED;GOOGLE;UNIT;0;False;CPVAGNER88;True;São Paulo;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;b1e62fc6-9956-ca4e-5db1-2785773992a9;/imovel/aluguel-casa-de-vila-3-quartos-residencial-alameda-do-sul-sao-jose-do-rio-preto-sp-120m2-id-2629039014/;GRUPOZAP;2629039014;RENTAL;ALL;São José do Rio Preto;VALID_STREET;mês;4.370;3.800;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;RE/MAX TRIO;160;160;Casa de Vila - Brooklin;"Sobrado charmoso em vila fechada com cento e sessenta metros quadrados de área útil assim divididos: piso inferior com sala para dois ambientes, lavabo, cozinha e área de serviço com entrada lateral, além de uma suíte que pode ser usada tanto como dependência de empregada ou para o seu home-office; no piso superior, três dormitórios sendo duas suítes, e banheiro social, garagem fechada com duas vagas, murada. Localização privilegiada, faça tudo a pé, próximo de comércio, centros empresariais, meios de transporte e com fácil acesso a grandes avenidas. Vale a pena agendar sua visita para conhecer esta oportunidade.";2023-05-03T06:37:48.595Z;2023-05-04T18:42:18.144Z;2;2;04581020;Rua João Adriano de Camargo;Brooklin;53;;4;3;;398;;STANDARD;VILLAGE_HOUSE;;RESIDENTIAL;GARAGE|NEAR_PUBLIC_TRANSPORT|GARDEN;-23.617447;RENTAL;Zona Sul;False;Casa de Vila para alugar em;24342-J-SP;7.000;0;-46.690687;False;USED;GOOGLE;UNIT;0;False;601361021-82;True;São Paulo;ROOFTOP;False;;Alugar;BR;STREET;3ce344c8-bdc7-150a-67c8-91d2dd2be8bf;/imovel/aluguel-casa-de-vila-3-quartos-brooklin-zona-sul-sao-paulo-sp-160m2-id-2629849471/;GRUPOZAP;2629849471;RENTAL;ALL;São Paulo;VALID_STREET;mês;;7.000;casas-de-vila;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
;Felipe de Carvalho Fernandes;85;85;Excelente sobrado para locação!;Excelente oportunidade de locação! Disponíveis para aluguel, duas casas prontas e totalmente individuais em um terreno localizado no melhor bairro de Cajamar/Polvilho, o Portal dos Ipês. A casa disponível para locação encontra-se no pavimento superior e possui cerca de 85m² de área construída, além de excelente acabamento com materiais de primeira linha.<br><br>Com uma distribuição interna bem planejada, a casa conta com uma sala de estar e sala de jantar integradas, cozinha americana e área de serviço. Há três dormitórios, sendo duas suítes e um dormitório ao lado do banheiro. Os quartos são amplos e arejados, com sacada em um dos dormitórios e em uma das suítes. A casa dispõe ainda de uma vaga de garagem.<br><br>Não perca essa oportunidade de morar em um bairro tranquilo e com fácil acesso a diversas comodidades da região. O valor da locação é de R$2.500,00. Agende já uma visita e venha conhecer essa ótima opção de moradia!;2023-05-04T14:39:13.775Z;2023-05-04T14:39:20.561Z;2;2;07791220;Rua das Aroeiras;Portal dos Ipês;86;3;3;3;;;;STANDARD;HOME;VILLAGE_HOUSE|TWO_STORY_HOUSE;RESIDENTIAL;ELECTRONIC_GATE|PETS_ALLOWED|AMERICAN_KITCHEN;-23.399706;RENTAL;Bairros;False;Casa de vila para alugar em;213257-F-SP;2.500;0;-46.860202;False;USED;GOOGLE;UNIT;0;False;Cajamar l Ren.;True;São Paulo;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;e09d499b-6919-08b2-f959-a93e2bafee30;/imovel/aluguel-casa-de-vila-3-quartos-portal-dos-ipes-cajamar-sp-85m2-id-2630164102/;GRUPOZAP;2630164102;RENTAL;ALL;Cajamar;VALID_STREET;mês;;2.500;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;OLC IMOVEIS ASSESSORIA E ADMINISTRACAO IMOBILIARIA - EIRELI - ME;140;140;Uma casa grande em avenida para Locação, pode ser residencial ou comercial;Uma linda casa grande e em avenida movimentada para locação, residencial ou comercial.<br><br>Casa com 3 quartos, 2 banheiro, sala grande, cozinha, área de serviço, garagem para 2 carros, quintal grande.<br><br>Em avenida Próximo a vários comércios, como açougue, farmácia, sorveteria, lanchonetes, Atacadão, passa ônibus,<br><br>ponto quase em frente.<br><br>Serve tanto para fins residenciais como comerciais, consultório odontológico, clinicas, creches, escolinhas, centro de estética e outros.<br><br>ótima localização:<br>Mais informações falar com Bibiane Percilia <br>Creci 227871<br>Fone:;2023-02-16T16:53:03.681Z;2023-02-16T17:24:46.816Z;1;2;05790310;Rua Jaime Balmer;Campo Limpo;198;0;2;3;;10;10;STANDARD;HOME;VILLAGE_HOUSE|TWO_STORY_HOUSE;RESIDENTIAL;FRUIT_TREES|TREE_CLIMBING|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_HOSPITAL|NEAR_PUBLIC_TRANSPORT|NEAR_SHOPPING_CENTER|INTERNET_ACCESS|PETS_ALLOWED;-23.645618;RENTAL;Zona Sul;False;Casa de vila para alugar em;121605-F-SP;2.200;1;-46.789113;False;USED;GOOGLE;UNIT;1;False;1692B;True;São Paulo;ROOFTOP;False;;Alugar;BR;STREET;da0024f8-2ee1-c7f6-ab41-ff92aa6be628;/imovel/aluguel-casa-de-vila-3-quartos-campo-limpo-zona-sul-sao-paulo-sp-140m2-id-2613218501/;GRUPOZAP;2613218501;RENTAL;ALL;São Paulo;VALID_STREET;mês;2.210;2.200;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Dimag Empreendimentos Imobiliários - LTDA;85;;Casa ampla Bairro Macuco, Santos-SP;2 quartos <br>1 pequeno quarto podendo ser usado como 3.º dormitório, closet ou home Office<br>2 Banheiros<br>Sala <br>Cozinha<br>Pequeno quintal <br><br>Casa localizada numa vila residencial<br><br>Área útil 85m²<br>2.200,00 pacote<br><br>Tratar com Karina<br>CRECI 219561;2022-11-03T19:38:11.823Z;2023-05-01T19:18:59.100Z;;1;11015150;Rua Luiz Gama;Macuco;89;0;2;3;;;;STANDARD;HOME;VILLAGE_HOUSE;RESIDENTIAL;PETS_ALLOWED;-23.955427;RENTAL;Bairros;False;Casa de vila para alugar em;;2.200;0;-46.314984;False;USED;GOOGLE;UNIT;0;False;L Gama2;True;São Paulo;ROOFTOP;False;;Alugar;BR;STREET;a3381a49-1f46-60da-30d4-27b44870e78a;/imovel/aluguel-casa-de-vila-3-quartos-macuco-santos-sp-85m2-id-2589816236/;GRUPOZAP;2589816236;RENTAL;ALL;Santos;VALID_STREET;mês;;2.200;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Lopes Condessa;92;92;Casa para locação no Jardim São Paulo- São Paulo;Casa térrea bem arejada e espaçosa no Jardim São Paulo, com 3 dormitórios sendo 1 suíte com armários planejados, sala bem iluminada, cozinha apenas com gabinete, lavanderia grande. Imóvel estilo apartamento sem quintal. Com 2 vagas de garagem. No quintal existem outros imóveis. Portanto não aceita Pet. Agua e luz independente. Agende já sua visita. - Ref.: REO741729;2023-03-28T21:30:03.608Z;2023-05-02T15:53:12.361Z;;2;02039010;Rua Capitão Rabelo;Santana;171;1;2;3;;175;;STANDARD;VILLAGE_HOUSE;;RESIDENTIAL;;-23.493233;RENTAL;Zona Norte;False;Casa de Vila para alugar em;029265-J-SP;2.700;0;-46.621462;False;USED;GOOGLE;UNIT;0;False;REO741729;True;São Paulo;ROOFTOP;False;;Alugar;BR;STREET;0f4ea0e0-acee-7db6-0fc9-307cd8cd3017;/imovel/aluguel-casa-de-vila-3-quartos-santana-zona-norte-sao-paulo-sp-92m2-id-2621420279/;GRUPOZAP;2621420279;RENTAL;ALL;São Paulo;VALID_STREET;mês;;2.700;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Leardi Brooklin;120;170;CASA DE VILA - BROOKLIN - SP;Casa térrea, com 2 dormitórios mais uma edícula, numa rua sem saída, com portão fechado, quintal, no centro do Brooklin Novo!<br>A Leardi, há mais de um século de tradição, lidera o mercado imobiliário, e atende seus clientes visando sempre superar suas expectativas, por quatro gerações. Com extrema determinação, sem nunca abalar a solidez, a Leardi, continua garantindo a seus clientes a realização dos melhores negócios, com iniciativas pioneiras, visando a modernidade, a reputação e a liderança, um orgulho já secular. Quem procura comprar ou vender um imóvel, encontra muito mais do que isso negociando com a Leardi, encontra orientação segura, propostas sólidas, um atendimento impecável, que credenciam a Leardi como uma das empresas mais confiáveis e tradicionais do mercado, são quatro gerações trabalhando para você. <br><br>0305;2023-04-21T01:56:03.337Z;2023-05-04T03:48:03.529Z;;2;04566080;Rua Professor Álvaro de Lemos Torres;Brooklin;95;;2;3;;600;;STANDARD;VILLAGE_HOUSE;;RESIDENTIAL;PETS_ALLOWED;-23.610722;RENTAL;Zona Sul;False;Casa de Vila para alugar em;22005-J-SP;5.900;1;-46.682031;False;USED;GOOGLE;UNIT;0;False;718398;True;São Paulo;ROOFTOP;False;;Alugar;BR;STREET;f14d038b-206c-e28c-fdc7-8b50e48e9150;/imovel/aluguel-casa-de-vila-3-quartos-brooklin-zona-sul-sao-paulo-sp-120m2-id-2627558729/;GRUPOZAP;2627558729;RENTAL;ALL;São Paulo;VALID_STREET;mês;;5.900;casas-de-vila;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
