listing.playground;listing.address.neighborhood;listing.parkingSpaces;listing.bathtub;listing.gym;listing.floors;listing.barbgrill;listing.totalAreas;listing.pricingInfo.yearlyIptu;listing.bathrooms;listing.fireplace;listing.bedrooms;listing.pricingInfo.rentalPrice;listing.tenniscourt;listing.garden;listing.address.zone;listing.usableAreas;listing.soundproofing;imvl_type;listing.hottub;listing.unitFloor;listing.sauna;listing.furnished;listing.backyard;listing.guestpark;listing.mountainview;listing.pricingInfo.monthlyCondoFee;listing.pool;listing.partyhall;listing.sportcourt;listing.unitsOnTheFloor;listing.suites
True;Recreio Dos Bandeirantes;1.0;False;True;1.0;True;140.0;200.0;2;False;2;6.9;False;True;Zona Oeste;140.0;False;apartamentos;False;1.0;True;True;False;False;False;900.0;True;True;False;0.0;1.0
True;Barra da Tijuca;1.0;False;True;1.0;True;100.0;250.0;2;False;2;3.25;False;False;Zona Oeste;100.0;False;apartamentos;False;3.0;True;False;False;False;False;1500.0;True;True;False;0.0;1.0
True;Barra da Tijuca;1.0;False;True;1.0;True;77.0;260.0;3;False;2;2.8;False;True;Zona Oeste;77.0;False;apartamentos;False;0.0;True;False;False;False;False;1293.0;True;True;True;0.0;1.0
False;Madureira;0.0;False;False;3.0;False;60.0;0.0;1;False;2;1.2;False;False;Zona Norte;60.0;False;apartamentos;False;0.0;False;False;False;False;False;698.0;False;False;False;2.0;0.0
False;Tijuca;1.0;False;False;1.0;False;70.0;210.0;2;False;2;2.9;False;False;Zona Norte;70.0;False;apartamentos;False;6.0;False;False;False;False;False;825.0;False;False;False;0.0;1.0
False;Recreio Dos Bandeirantes;2.0;False;False;1.0;False;99.0;350.0;3;False;2;3.8;False;False;Zona Oeste;99.0;False;apartamentos;False;2.0;False;False;False;False;False;750.0;False;False;False;0.0;2.0
True;Tijuca;1.0;False;False;7.0;False;73.0;76.0;2;False;2;1.7;False;False;Zona Norte;73.0;False;apartamentos;False;6.0;False;False;False;False;False;711.0;False;True;False;4.0;1.0
True;Recreio Dos Bandeirantes;1.0;False;False;8.0;False;70.0;1.435;2;False;2;2.8;True;False;Zona Oeste;70.0;False;apartamentos;False;0.0;False;False;False;False;False;880.0;True;True;True;0.0;1.0
False;Anil;1.0;False;False;12.0;True;46.0;0.0;1;False;2;1.3;False;False;Zona Oeste;46.0;False;apartamentos;False;1.0;True;False;False;False;False;715.0;True;True;True;0.0;0.0
False;Campo Grande;1.0;False;True;1.0;True;71.0;95.0;3;False;2;2.1;False;False;Zona Oeste;71.0;False;apartamentos;False;0.0;True;False;False;False;False;490.0;True;True;False;0.0;1.0
False;Jardim Botânico;0.0;False;False;3.0;False;100.0;377.0;2;False;2;3.8;False;False;Zona Sul;100.0;False;apartamentos;False;3.0;False;False;False;False;False;730.0;False;False;False;2.0;2.0
True;Copacabana;2.0;False;False;1.0;False;77.0;363.0;3;False;2;5.5;False;False;Zona Sul;77.0;False;apartamentos;False;7.0;False;False;False;False;False;1225.0;True;False;True;0.0;1.0
False;Tijuca;1.0;False;False;1.0;False;100.0;269.0;2;False;2;2.0;False;False;Zona Norte;100.0;False;apartamentos;False;0.0;False;False;False;False;False;887.0;False;False;False;0.0;1.0
True;Méier;1.0;False;True;11.0;True;68.0;100.0;2;False;2;1.5;False;False;Zona Norte;68.0;False;apartamentos;False;7.0;True;False;False;False;False;500.0;False;True;True;8.0;1.0
True;Vista Alegre;1.0;False;True;15.0;True;55.0;1.0;1;False;2;1.3;False;False;Zona Norte;55.0;False;apartamentos;False;2.0;False;False;False;False;False;420.0;True;True;False;8.0;0.0
True;Tijuca;1.0;False;False;1.0;False;87.0;182.0;3;False;2;2.8;False;False;Zona Norte;87.0;False;apartamentos;False;0.0;False;False;False;False;False;1285.0;True;True;True;0.0;1.0
